x,Safari,Firefox,Chrome,Edge
1,3.650,1.536,8.000,8.065
2,3.663,1.553,7.937,8.130
3,3.731,1.558,8.621,8.264
4,3.650,1.558,7.813,8.130
5,3.650,1.560,8.696,8.130
6,3.717,1.555,8.333,8.065
7,3.690,1.555,8.130,8.197
8,3.745,1.553,7.813,8.065
9,3.717,1.560,8.000,8.130
10,3.650,1.550,8.264,8.772
11,3.717,1.546,8.000,8.000
12,3.717,1.555,7.937,8.130
13,3.663,1.558,7.937,8.130
14,3.704,1.558,7.813,8.197
15,3.704,1.546,7.874,8.264
16,3.650,1.548,7.874,8.197
17,3.663,1.558,7.813,8.130
18,3.663,1.531,8.065,8.065
19,3.759,1.499,7.937,8.065
20,3.745,1.560,8.000,8.130
21,3.717,1.555,8.403,8.130
22,3.717,1.560,8.197,8.850
23,3.717,1.560,7.937,8.264
24,3.745,1.558,8.772,8.197
25,3.745,1.555,8.130,8.264
26,3.759,1.555,7.813,8.130
27,3.676,1.558,8.130,8.696
28,3.650,1.550,7.813,8.772
29,3.731,1.553,8.130,8.696
30,3.636,1.558,8.130,8.197
